Accident_ID,Accident_Severity,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Time,Age_of_Vehicle,Number_of_Vehicles,Number_of_Casualties,Vehicle_Type,Vehicle_Manoeuvre,Sex_of_Driver,Age_Band_of_Driver,Driver_Home_Area_Type,Junction_Control,Carriageway_Hazards,Skidding_and_Overturning,Hit_Object_in_Carriageway,latitude,longitude
ACC02442,1,14.2241800657909,Daylight,Fine,Dry,Urban,Morning,1,3,1,Van,Going ahead,Female,26-35,Urban area,Give way,,Skidded,,52.0455122853886,0.210042216572205
ACC02443,3,57.5770467444497,Darkness - lights unlit,Rain,Wet,Urban,Early Morning,1,1,1,Motorcycle,Overtaking,Female,46-55,Urban area,Auto traffic signal,Pedestrian in carriageway,Overturned,Other object,52.6706411782585,-0.593990343333934
ACC02444,2,18.6851628664407,Darkness,Snow,Dry,Urban,Early Morning,12,1,4,Truck,Turning right,Male,46-55,Rural area,Not at junction,Previous accident,,Other object,52.3822478389935,-0.0259397299586132
ACC02445,1,48.0672976661022,Street lights,Fine,Dry,Urban,Morning,12,2,1,Van,Turning right,Male,26-35,Urban area,Give way,,,,51.3179743725478,0.0406649240279711
ACC02446,1,27.0474316390327,Daylight,Fine,Dry,Urban,Morning,1,3,1,Motorcycle,Going ahead,Female,36-45,Urban area,Give way,,,Central island,51.0451047465855,0.346153662684379
ACC02447,3,47.2163847095515,Darkness,Rain,Icy,Rural,Night,14,2,2,Truck,Turning right,Male,56-65,Rural area,Uncontrolled,Pedestrian in carriageway,Overturned,Other object,51.4961704717795,0.204757853391873
ACC02448,2,28.9796411049434,Daylight,Fog,Dry,Urban,Afternoon,15,4,4,Car,Slowing or stopping,Male,46-55,Urban area,Uncontrolled,Previous accident,,,51.8328200416224,0.463980084777447
ACC02449,1,20.1388711950745,Street lights,Fine,Dry,Urban,Morning,18,1,1,Truck,Turning right,Male,26-35,Urban area,Give way,,Skidded,,51.6181703240448,0.172711467598514
ACC02450,2,41.1630955509936,Darkness,Fine,Dry,Urban,Night,10,5,2,Motorcycle,Slowing or stopping,Male,46-55,Urban area,Auto traffic signal,Parked vehicle,,Central island,51.1066267045324,0.151529140502345
ACC02451,2,36.1294361885073,Darkness,Rain,Wet,Rural,Evening,11,1,1,Motorcycle,Slowing or stopping,Male,36-45,Urban area,Uncontrolled,Previous accident,,Central island,52.4078128261567,0.498512673427643
ACC02452,2,69.8758777688818,Street lights,Snow,Wet,Urban,Night,4,1,1,Truck,Going ahead,Male,65+,Rural area,Auto traffic signal,Parked vehicle,,Central island,51.1504823893572,-0.589543177340084
ACC02453,1,10.7669471448263,Daylight,Fine,Dry,Urban,Evening,23,2,3,Van,Slowing or stopping,Female,26-35,Rural area,Give way,,,,51.4254129268798,-0.48274766666121
ACC02454,1,40.0719678382215,Street lights,Fog,Dry,Urban,Afternoon,13,1,1,Motorcycle,Going ahead,Female,26-35,Urban area,Give way,,,Central island,52.2672471061134,0.187955726868951
ACC02455,2,38.1209266676469,Daylight,Snow,Wet,Rural,Evening,2,3,6,Motorcycle,Slowing or stopping,Male,36-45,Urban area,Auto traffic signal,Parked vehicle,Overturned,Other object,52.5260988850034,-0.104314243972862
ACC02456,3,77.2510878105453,Darkness,Rain,Icy,Rural,Early Morning,32,4,6,Bus,Overtaking,Male,56-65,Urban area,Uncontrolled,Pedestrian in carriageway,Overturned,Other object,51.9272869316297,-0.235370085559052
ACC02457,1,17.4884911139987,Daylight,Fine,Wet,Urban,Morning,13,2,5,Van,Turning right,Male,36-45,Urban area,Auto traffic signal,Pedestrian in carriageway,,Other object,52.2837333346452,-0.124252333836855
ACC02458,2,45.5623546402126,Daylight,Rain,Wet,Rural,Evening,9,3,1,Truck,Turning right,Female,46-55,Urban area,Uncontrolled,Previous accident,Skidded,Central island,51.9768915200571,-0.0125974636777507
ACC02459,1,23.8601858816078,Daylight,Fine,Snow,Urban,Morning,9,1,1,Car,Turning right,Female,65+,Urban area,Give way,,Overturned,Other object,52.5804860089824,-0.126663515610591
ACC02460,1,62.9469160800786,Daylight,Fine,Dry,Urban,Early Morning,17,2,3,Car,Turning right,Female,26-35,Urban area,Give way,,Overturned,,52.6995200445864,0.269033479937768
ACC02461,1,28.4003369202267,Daylight,Fine,Dry,Urban,Afternoon,1,2,3,Motorcycle,Going ahead,Female,26-35,Urban area,Not at junction,,,,51.4508440250589,0.399935772732205
ACC02462,1,11.3837911285407,Darkness,Fine,Dry,Urban,Afternoon,1,1,3,Motorcycle,Turning right,Female,36-45,Urban area,Give way,,Overturned,,52.2599051037931,-0.552508890623287
ACC02463,3,46.5256482695103,Darkness,Fog,Dry,Rural,Night,19,6,5,Bus,Turning right,Female,46-55,Rural area,Not at junction,Pedestrian in carriageway,Skidded,Kerb,51.7154164463343,0.304602269847424
ACC02464,3,73.3719017191015,Darkness - lights unlit,Snow,Wet,Rural,Morning,3,2,5,Motorcycle,Turning right,Male,65+,Rural area,Give way,Previous accident,Overturned,Other object,51.0368710566897,0.208826346683068
ACC02465,2,27.0273816003259,Daylight,Rain,Dry,Urban,Night,14,5,1,Truck,Turning right,Male,26-35,Rural area,Auto traffic signal,Parked vehicle,Skidded,Kerb,52.6067744772024,-0.0524785013479863
ACC02466,3,43.2589485058642,Darkness - lights unlit,Rain,Icy,Rural,Night,9,1,4,Truck,Overtaking,Female,56-65,Urban area,Uncontrolled,Pedestrian in carriageway,Skidded,Kerb,51.7999841510058,-0.469478542446931
ACC02467,3,55.2732352611839,Darkness - lights unlit,Snow,Icy,Rural,Early Morning,9,1,1,Truck,Overtaking,Female,56-65,Rural area,Not at junction,Pedestrian in carriageway,Overturned,Other object,52.5745451281563,0.493420560995828
ACC02468,3,20.9162410969812,Darkness,Rain,Icy,Rural,Early Morning,8,6,4,Car,Turning right,Female,56-65,Rural area,Uncontrolled,Previous accident,Overturned,Kerb,51.438509283883,-0.100523262955347
ACC02469,2,17.4062623191352,Daylight,Fine,Wet,Urban,Night,13,2,2,Motorcycle,Slowing or stopping,Female,46-55,Urban area,Uncontrolled,Previous accident,,Central island,52.0078484083168,0.42534308063128
ACC02470,3,67.5409674406858,Darkness,Rain,Wet,Rural,Early Morning,19,2,4,Bus,Turning right,Female,36-45,Rural area,Not at junction,Pedestrian in carriageway,Skidded,Kerb,51.8602418955656,0.0280261632281818
ACC02471,1,47.072034654123,Darkness - lights unlit,Mist,Dry,Urban,Morning,17,1,1,Motorcycle,Slowing or stopping,Male,36-45,Urban area,Give way,,Overturned,,51.1450944357337,0.202459051517636
ACC02472,1,13.5243333948843,Daylight,Fine,Dry,Urban,Afternoon,17,1,1,Car,Going ahead,Male,56-65,Urban area,Not at junction,Pedestrian in carriageway,,,52.0762724773646,-0.38050330397794
ACC02473,2,49.4313225450841,Darkness,Rain,Snow,Rural,Evening,1,1,1,Truck,Slowing or stopping,Female,46-55,Rural area,Auto traffic signal,,Overturned,Central island,51.7919819391431,-0.379603665596205
ACC02474,1,10.8274018774305,Daylight,Mist,Dry,Urban,Afternoon,11,1,5,Van,Going ahead,Female,26-35,Urban area,Give way,,Overturned,,51.232705571117,-0.181537991741681
ACC02475,2,38.8752062924309,Darkness - lights unlit,Snow,Wet,Rural,Night,26,1,4,Car,Slowing or stopping,Male,36-45,Rural area,Auto traffic signal,Previous accident,Skidded,Central island,52.6713758928494,-0.0051549438899299
ACC02476,2,48.4557374215868,Darkness,Fine,Wet,Urban,Evening,8,4,2,Car,Turning right,Male,46-55,Urban area,Give way,Previous accident,Skidded,,51.5065276292292,-0.0541413087430537
ACC02477,1,25.8798274881106,Daylight,Fine,Dry,Urban,Afternoon,3,1,1,Van,Turning right,Female,36-45,Urban area,Give way,,,,51.3171691001063,-0.304107255121393
ACC02478,1,19.928776282567,Daylight,Fine,Dry,Urban,Afternoon,1,1,1,Van,Turning right,Male,26-35,Urban area,Auto traffic signal,,,,52.5138963772578,-0.526682755383241
ACC02479,2,38.0148768884171,Darkness,Fine,Dry,Urban,Evening,19,1,3,Motorcycle,Slowing or stopping,Male,26-35,Rural area,Give way,,,Other object,52.3019489168629,-0.241766594494097
ACC02480,1,-10.6875924646661,Daylight,Fine,Dry,Urban,Morning,6,1,3,Motorcycle,Going ahead,Male,36-45,Urban area,Give way,,,,52.017719423135,0.277168623767621
ACC02481,1,19.0965438666481,Daylight,Fine,Wet,Urban,Morning,16,1,1,Car,Overtaking,Female,36-45,Rural area,Auto traffic signal,,Skidded,,52.201657484541,0.148549232282185
ACC02482,2,11.7633101697222,Daylight,Fine,Wet,Rural,Evening,5,3,4,Car,Turning right,Male,46-55,Rural area,Auto traffic signal,Previous accident,,,52.4041552382919,-0.149722739788161
ACC02483,1,35.4428642055775,Daylight,Fine,Dry,Urban,Morning,13,2,1,Van,Turning right,Male,65+,Urban area,Auto traffic signal,,,,52.4766185179221,0.368086996317604
ACC02484,1,43.6541707818574,Daylight,Fine,Dry,Urban,Morning,9,3,3,Van,Turning right,Male,26-35,Urban area,Give way,,Skidded,,51.2651906845715,0.335639902003666
ACC02485,2,79.6727541510067,Daylight,Snow,Dry,Urban,Night,23,3,1,Motorcycle,Turning right,Female,65+,Urban area,Give way,,,,51.9846760222709,-0.0441311469251421
ACC02486,1,30.7764655926697,Daylight,Snow,Dry,Urban,Morning,1,4,1,Motorcycle,Turning right,Male,36-45,Urban area,Give way,,,,51.238192398803,0.287043978956124
ACC02487,1,16.7844275565369,Daylight,Fog,Dry,Urban,Morning,17,3,1,Car,Slowing or stopping,Male,56-65,Urban area,Not at junction,,,,52.5164791438011,-0.400925352019561
ACC02488,1,67.6520676798858,Daylight,Mist,Wet,Urban,Morning,1,1,3,Van,Overtaking,Male,36-45,Urban area,Give way,,,,51.7102035296845,-0.291958937494462
ACC02489,1,21.9454768837648,Street lights,Fine,Dry,Urban,Afternoon,1,1,1,Car,Going ahead,Female,26-35,Urban area,Auto traffic signal,Parked vehicle,,,52.5552694633748,-0.242290929352836
ACC02490,3,47.4659384190497,Darkness - lights unlit,Rain,Icy,Rural,Early Morning,12,1,1,Motorcycle,Turning right,Male,56-65,Rural area,Uncontrolled,Previous accident,Skidded,Kerb,51.1088876466562,-0.480732858472719
ACC02491,2,47.3919553909495,Daylight,Snow,Snow,Rural,Night,7,2,2,Car,Slowing or stopping,Male,46-55,Rural area,Not at junction,Parked vehicle,,,51.492893059226,0.365358210477561
ACC02492,3,51.510132713619,Darkness,Snow,Icy,Rural,Early Morning,31,4,3,Truck,Turning right,Male,65+,Rural area,Uncontrolled,Previous accident,Overturned,Kerb,52.1811901801364,-0.293708728245089
ACC02493,3,56.4289150700076,Darkness,Rain,Dry,Rural,Night,20,4,6,Truck,Turning right,Female,46-55,Urban area,Auto traffic signal,Pedestrian in carriageway,Skidded,Kerb,51.3352329697017,0.413721033311079
ACC02494,2,11.8448208193447,Daylight,Rain,Dry,Urban,Evening,11,2,2,Car,Turning right,Male,46-55,Urban area,Give way,Previous accident,,Other object,51.7639219817628,0.0501682858538882
ACC02495,2,61.852522343839,Street lights,Rain,Wet,Urban,Evening,1,3,1,Truck,Turning right,Female,65+,Rural area,Give way,Previous accident,Skidded,Kerb,51.924018404142,0.360475216121109
ACC02496,3,81.0142636624192,Darkness,Fog,Wet,Urban,Night,22,1,3,Bus,Overtaking,Female,65+,Rural area,Not at junction,Previous accident,Skidded,Other object,52.6916244669338,0.0723759769550206
ACC02497,3,102.329027520158,Darkness - lights unlit,Snow,Icy,Urban,Early Morning,5,2,7,Bus,Overtaking,Male,65+,Rural area,Uncontrolled,Pedestrian in carriageway,Overturned,Central island,52.1046804531214,-0.231390333544457
ACC02498,3,79.0939499007724,Darkness - lights unlit,Fog,Icy,Rural,Early Morning,14,2,4,Bus,Overtaking,Male,65+,Urban area,Not at junction,Previous accident,Skidded,Kerb,52.2541340888792,0.186355348645549
ACC02499,3,60.312018132154,Darkness,Mist,Wet,Rural,Night,2,1,5,Truck,Overtaking,Male,46-55,Rural area,Not at junction,Parked vehicle,Overturned,Other object,51.2326736584025,0.188192500929974
ACC02500,2,16.5975231675605,Daylight,Mist,Snow,Rural,Evening,14,1,1,Truck,Turning right,Male,46-55,Urban area,Uncontrolled,Parked vehicle,,Central island,51.5506965042732,0.235664497579903
ACC02501,3,41.8176636264438,Darkness - lights unlit,Fog,Wet,Rural,Evening,29,6,4,Bus,Overtaking,Male,65+,Rural area,Not at junction,Previous accident,Overturned,Other object,52.243888622923,0.343831467579039
ACC02502,3,63.0267898944804,Darkness,Rain,Dry,Rural,Night,3,1,1,Truck,Turning right,Female,46-55,Rural area,Not at junction,Parked vehicle,Skidded,Other object,52.5545747448557,0.30349574393955
ACC02503,2,30.7222118989287,Darkness,Mist,Wet,Urban,Night,1,4,1,Motorcycle,Slowing or stopping,Male,56-65,Rural area,Auto traffic signal,Previous accident,,,52.2506857590206,0.150095683106849
ACC02504,2,13.607576438142,Darkness,Rain,Wet,Rural,Evening,11,2,1,Car,Turning right,Female,36-45,Urban area,Uncontrolled,Pedestrian in carriageway,Skidded,,52.3637762422512,-0.571086750428632
ACC02505,2,12.1818719116502,Daylight,Mist,Wet,Rural,Night,28,1,1,Motorcycle,Turning right,Male,46-55,Rural area,Auto traffic signal,Parked vehicle,,Central island,51.3418419302903,0.232457787676391
ACC02506,2,36.1185903102763,Darkness - lights unlit,Fine,Dry,Rural,Night,3,2,1,Car,Overtaking,Male,36-45,Urban area,Uncontrolled,,,Central island,51.4922226712493,0.372242989959955
ACC02507,3,101.798392452374,Darkness,Fog,Icy,Urban,Night,2,1,3,Bus,Turning right,Female,46-55,Rural area,Auto traffic signal,Previous accident,Overturned,Other object,51.8257818050837,-0.46400738213404
ACC02508,1,26.5376061805091,Daylight,Fine,Dry,Urban,Morning,4,5,1,Motorcycle,Going ahead,Male,26-35,Urban area,Give way,,,,51.6298025747454,-0.242856480420934
ACC02509,3,83.1072624254971,Darkness - lights unlit,Rain,Icy,Rural,Early Morning,14,2,2,Bus,Overtaking,Male,46-55,Rural area,Not at junction,Pedestrian in carriageway,Skidded,Kerb,52.5458738754444,0.464608858327939
ACC02510,2,30.4646941311746,Daylight,Rain,Snow,Rural,Evening,1,5,2,Truck,Turning right,Male,36-45,Urban area,Auto traffic signal,,,Central island,51.5820490022156,0.420548208247501
ACC02511,1,15.5118572727769,Daylight,Fine,Dry,Urban,Morning,1,4,1,Van,Turning right,Male,26-35,Urban area,Give way,Parked vehicle,Skidded,,51.4925774699534,-0.462295628577195
ACC02512,2,49.312474649741,Darkness,Rain,Wet,Urban,Night,1,1,1,Truck,Turning right,Female,36-45,Rural area,Uncontrolled,Previous accident,,Other object,52.2847140271218,-0.0353770592945518
ACC02513,3,102.002978635682,Darkness - lights unlit,Rain,Dry,Rural,Early Morning,13,3,6,Truck,Overtaking,Male,65+,Rural area,Not at junction,Previous accident,Skidded,Kerb,52.6542732004729,0.321549547558018
ACC02514,2,-23.4055509287632,Daylight,Rain,Wet,Urban,Evening,1,2,6,Truck,Slowing or stopping,Female,36-45,Urban area,Give way,Parked vehicle,,,51.9480980952413,-0.0593595675145252
ACC02515,3,43.7722811994906,Darkness,Snow,Snow,Rural,Night,43,8,2,Bus,Turning right,Female,46-55,Rural area,Not at junction,Pedestrian in carriageway,Skidded,Other object,51.3785103426809,-0.0315280264294106
ACC02516,1,24.9382679613471,Daylight,Fine,Dry,Urban,Morning,10,2,1,Car,Turning right,Female,26-35,Urban area,Auto traffic signal,,Overturned,,51.9807366038648,0.357824891399763
ACC02517,1,28.3604197333105,Daylight,Fine,Dry,Urban,Morning,6,1,1,Car,Going ahead,Female,36-45,Urban area,Auto traffic signal,,,,51.2395711824571,0.496836950173482
ACC02518,3,36.458377965819,Darkness - lights unlit,Fog,Wet,Rural,Early Morning,24,2,1,Truck,Turning right,Male,26-35,Rural area,Not at junction,Previous accident,Overturned,Other object,51.901139628005,-0.0569644732021561
ACC02519,2,49.2295688383624,Darkness,Snow,Dry,Urban,Evening,3,1,1,Motorcycle,Turning right,Male,36-45,Urban area,Auto traffic signal,Parked vehicle,Skidded,,52.001402260993,-0.581165705623122
ACC02520,2,50.2570613831121,Darkness,Fine,Wet,Rural,Night,9,3,6,Car,Slowing or stopping,Female,65+,Urban area,Auto traffic signal,Parked vehicle,,Central island,51.4386746198624,0.282140903315953
ACC02521,1,59.4316155743668,Daylight,Mist,Dry,Urban,Afternoon,13,3,3,Truck,Going ahead,Female,36-45,Urban area,Auto traffic signal,,,,52.4444005641516,0.164446197792708
ACC02522,1,24.1689573404864,Daylight,Rain,Dry,Urban,Afternoon,1,5,3,Car,Going ahead,Male,56-65,Rural area,Auto traffic signal,,,,51.7260832406646,0.0600226029312341
ACC02523,2,37.1639605736009,Daylight,Fine,Dry,Rural,Evening,12,4,3,Motorcycle,Slowing or stopping,Male,36-45,Rural area,Give way,,,Central island,51.4258524219831,0.435858129286144
ACC02524,2,35.9255185274626,Darkness,Rain,Dry,Rural,Early Morning,31,2,1,Car,Going ahead,Female,36-45,Rural area,Uncontrolled,,,Other object,52.1635355722887,-0.140399313283121
ACC02525,3,82.1524944168076,Darkness,Rain,Wet,Rural,Night,3,4,4,Bus,Turning right,Female,56-65,Urban area,Not at junction,Pedestrian in carriageway,Overturned,Kerb,52.2672033471608,0.238443789886853
ACC02526,2,24.9033212897818,Darkness,Snow,Dry,Urban,Evening,15,1,2,Bus,Turning right,Male,36-45,Rural area,Auto traffic signal,,Skidded,Kerb,51.459004217906,0.0972381909718966
ACC02527,3,48.667801443617,Darkness,Fog,Icy,Rural,Early Morning,7,5,4,Truck,Overtaking,Male,56-65,Urban area,Uncontrolled,Previous accident,Overturned,Other object,51.6076029828496,-0.0750804944847726
ACC02528,3,40.397722061783,Darkness - lights unlit,Rain,Icy,Rural,Night,17,2,3,Motorcycle,Overtaking,Male,46-55,Urban area,Not at junction,Parked vehicle,Skidded,Other object,51.3030814879672,-0.588602298214443
ACC02529,2,24.0624611323636,Daylight,Fine,Dry,Rural,Evening,13,2,6,Car,Slowing or stopping,Male,36-45,Urban area,Give way,Previous accident,,,52.6033771891828,0.176850986953771
ACC02530,1,33.9700463289183,Daylight,Fine,Dry,Urban,Morning,20,4,1,Van,Going ahead,Male,36-45,Urban area,Auto traffic signal,,Skidded,,51.9933343302693,-0.0105895470796105
ACC02531,2,39.7386339067656,Daylight,Fog,Icy,Rural,Evening,23,2,1,Motorcycle,Slowing or stopping,Male,36-45,Urban area,Uncontrolled,Previous accident,,Central island,51.5924598597137,-0.314091878756504
ACC02532,3,70.6888477642552,Darkness,Mist,Icy,Rural,Early Morning,1,7,2,Van,Turning right,Female,46-55,Urban area,Not at junction,Pedestrian in carriageway,Skidded,Other object,52.6892766981916,-0.533798347296419
ACC02533,3,58.8614143920684,Darkness - lights unlit,Rain,Icy,Rural,Early Morning,22,5,4,Truck,Overtaking,Male,56-65,Rural area,Not at junction,Pedestrian in carriageway,Overturned,Kerb,52.2144946129514,0.167827181835453
ACC02534,3,63.4082058067698,Darkness,Rain,Icy,Rural,Night,22,5,5,Bus,Overtaking,Male,65+,Rural area,Not at junction,Previous accident,Skidded,Other object,51.5459971269269,0.0819712056092264
ACC02535,2,41.6654925902959,Daylight,Rain,Snow,Urban,Evening,22,1,2,Car,Turning right,Male,36-45,Urban area,Uncontrolled,Previous accident,,Central island,52.2714168318443,0.460055882552316
ACC02536,3,54.2563093795745,Darkness,Snow,Icy,Rural,Night,20,5,1,Bus,Turning right,Male,65+,Urban area,Not at junction,Parked vehicle,Overturned,Other object,51.69976213347,-0.275138627845779
ACC02537,1,56.6369434924276,Daylight,Fine,Dry,Urban,Morning,10,4,1,Motorcycle,Turning right,Female,36-45,Urban area,Give way,Previous accident,,,52.2981298500716,-0.036247086352635
ACC02538,2,20.8780281847582,Daylight,Snow,Wet,Rural,Morning,2,6,4,Truck,Turning right,Female,26-35,Urban area,Uncontrolled,Previous accident,,,52.5645104599737,0.151604271464629
ACC02539,1,62.7046359448108,Daylight,Fine,Dry,Urban,Morning,7,1,1,Van,Turning right,Female,26-35,Urban area,Auto traffic signal,,,,52.4654725066818,-0.242385583025131
ACC02540,1,26.5832433121461,Daylight,Fine,Icy,Urban,Morning,4,1,1,Car,Turning right,Male,36-45,Urban area,Auto traffic signal,Pedestrian in carriageway,,,51.0629129790163,0.341310984796365
ACC02541,1,31.757606065747,Daylight,Fine,Wet,Urban,Morning,7,2,1,Van,Going ahead,Male,56-65,Urban area,Auto traffic signal,Parked vehicle,Skidded,,51.0335079141824,-0.313826429941744
ACC02542,2,6.98733567636236,Daylight,Fine,Dry,Urban,Night,10,3,1,Motorcycle,Slowing or stopping,Female,46-55,Rural area,Auto traffic signal,Pedestrian in carriageway,,Central island,51.8380871294777,0.307955881331192
ACC02543,3,68.9795567656576,Darkness - lights unlit,Mist,Wet,Rural,Night,18,4,6,Motorcycle,Overtaking,Female,65+,Urban area,Not at junction,Pedestrian in carriageway,Overturned,Other object,52.5341338037686,-0.496204100913297
ACC02544,1,60.6744448475922,Daylight,Fine,Wet,Urban,Morning,7,1,3,Van,Going ahead,Male,36-45,Urban area,Give way,,,,52.6004901749201,-0.0130371986004336
ACC02545,2,37.0935343038246,Darkness,Rain,Wet,Urban,Evening,17,2,6,Car,Turning right,Female,36-45,Rural area,Not at junction,,,Other object,51.4974139541607,0.15044901437659
ACC02546,1,32.6062990072908,Daylight,Fine,Dry,Urban,Morning,1,1,7,Van,Going ahead,Male,26-35,Urban area,Auto traffic signal,,,,51.8741985453031,0.0786196102133165
ACC02547,1,17.1168628171335,Daylight,Mist,Snow,Urban,Morning,30,2,3,Van,Going ahead,Male,36-45,Urban area,Auto traffic signal,,,,52.5149432932867,0.493553297343284
ACC02548,1,11.2185048950356,Daylight,Fine,Dry,Urban,Morning,5,1,1,Motorcycle,Turning right,Male,36-45,Urban area,Give way,,,,51.7967783716515,-0.471996962325976
ACC02549,1,24.6076917249089,Daylight,Fine,Dry,Urban,Morning,8,4,3,Car,Going ahead,Male,36-45,Urban area,Auto traffic signal,,,,52.4311089204891,-0.455098349199982
ACC02550,1,6.4383559923628,Street lights,Fine,Dry,Rural,Afternoon,4,1,5,Car,Turning right,Female,36-45,Urban area,Give way,,,Central island,52.5671861995393,0.224617014917217
ACC02551,1,8.92448823781152,Street lights,Fine,Dry,Urban,Morning,1,1,3,Motorcycle,Going ahead,Female,26-35,Urban area,Give way,,Overturned,,51.457713492614,0.391938191348966
ACC02552,1,41.2638165311001,Daylight,Fine,Dry,Urban,Morning,9,3,1,Car,Turning right,Female,26-35,Urban area,Give way,,Overturned,,51.9190797067372,-0.405135231607875
ACC02553,3,73.7273462844779,Darkness,Rain,Icy,Rural,Night,15,5,6,Van,Overtaking,Female,65+,Rural area,Not at junction,Pedestrian in carriageway,Skidded,Other object,51.9446654227441,-0.0142658587892742
ACC02554,2,40.5143177892778,Darkness,Snow,Wet,Rural,Evening,14,2,1,Car,Slowing or stopping,Female,36-45,Urban area,Give way,,,Central island,52.2572369528495,0.23799440656345
ACC02555,3,71.9931190218968,Darkness,Rain,Icy,Rural,Early Morning,10,6,2,Bus,Overtaking,Male,56-65,Rural area,Not at junction,Previous accident,Skidded,Other object,51.2482258651991,-0.0945845178222994
ACC02556,1,47.7425175649606,Daylight,Fine,Dry,Urban,Afternoon,1,1,3,Car,Going ahead,Female,26-35,Urban area,Give way,Parked vehicle,,,52.0510331116015,-0.0763800576943567
ACC02557,2,50.8783017008717,Daylight,Snow,Dry,Urban,Evening,15,3,1,Car,Slowing or stopping,Female,46-55,Urban area,Uncontrolled,,,,52.1597897548802,0.194547795023349
ACC02558,2,27.3678528535753,Daylight,Fine,Wet,Urban,Evening,7,1,4,Truck,Turning right,Female,36-45,Rural area,Give way,Previous accident,Skidded,Central island,52.3273144993082,-0.573088826965173
ACC02559,1,63.3661863144822,Daylight,Mist,Dry,Urban,Afternoon,5,4,3,Car,Turning right,Female,26-35,Urban area,Give way,,,,51.0361579984457,0.137805543096418
ACC02560,1,-1.74493599586116,Daylight,Fine,Dry,Urban,Morning,9,1,3,Truck,Overtaking,Female,26-35,Rural area,Auto traffic signal,,,,52.4542829928187,-0.120858353705774
ACC02561,1,9.33973777359082,Darkness - lights unlit,Fine,Dry,Urban,Afternoon,21,2,1,Van,Turning right,Male,36-45,Urban area,Not at junction,,,Other object,51.8841156360023,-0.525914338384351
ACC02562,1,57.6679244522696,Daylight,Fine,Dry,Urban,Afternoon,9,2,1,Truck,Going ahead,Female,36-45,Urban area,Uncontrolled,,Overturned,,51.6976509691606,0.0783153459728118
ACC02563,3,55.9986365996125,Darkness,Fog,Wet,Rural,Early Morning,31,6,2,Bus,Turning right,Female,56-65,Rural area,Uncontrolled,Pedestrian in carriageway,Skidded,Central island,52.3028557751404,-0.571941642250916
ACC02564,1,-33.449662073042,Street lights,Fine,Icy,Urban,Morning,1,3,1,Car,Going ahead,Male,26-35,Urban area,Give way,,,Kerb,52.6149340127154,-0.493812082785015
ACC02565,3,63.4820798245599,Darkness - lights unlit,Rain,Icy,Rural,Night,14,6,5,Bus,Turning right,Male,56-65,Rural area,Give way,Previous accident,Overturned,Kerb,51.3846745592701,0.330178443578533
ACC02566,2,64.5733349484543,Darkness,Rain,Wet,Rural,Evening,13,4,3,Motorcycle,Slowing or stopping,Male,46-55,Urban area,Uncontrolled,Parked vehicle,,Central island,52.5143802203335,-0.039253359151046
ACC02567,2,33.8505634002854,Darkness,Fine,Dry,Rural,Evening,2,5,2,Bus,Slowing or stopping,Female,36-45,Rural area,Auto traffic signal,,,,52.5229189503733,-0.133756316413801
ACC02568,3,24.4955652558076,Darkness,Rain,Icy,Rural,Early Morning,12,1,2,Truck,Overtaking,Female,46-55,Rural area,Uncontrolled,Pedestrian in carriageway,Overturned,Other object,51.7072628942385,-0.0415856287577568
ACC02569,3,54.2078577997847,Darkness - lights unlit,Fog,Icy,Rural,Early Morning,28,4,4,Bus,Overtaking,Male,46-55,Rural area,Uncontrolled,Previous accident,Overturned,Other object,52.5010100698391,-0.1584934098614
ACC02570,2,26.2862209652994,Daylight,Snow,Wet,Urban,Night,24,2,1,Motorcycle,Slowing or stopping,Male,46-55,Urban area,Auto traffic signal,Parked vehicle,,,52.0433010191443,-0.230560252553085
ACC02571,2,23.2784207330646,Darkness - lights unlit,Rain,Wet,Urban,Night,28,6,1,Car,Overtaking,Female,36-45,Rural area,Uncontrolled,Parked vehicle,Skidded,Central island,52.5263128353224,-0.252045737289571
ACC02572,1,5.6177712732685,Street lights,Fine,Dry,Urban,Night,9,1,3,Van,Turning right,Male,26-35,Urban area,Auto traffic signal,,,,52.6474744712394,0.341265703221293
ACC02573,2,36.5660928443824,Daylight,Fine,Wet,Urban,Evening,3,7,1,Motorcycle,Slowing or stopping,Female,46-55,Urban area,Uncontrolled,Previous accident,Skidded,Central island,51.4498047591068,-0.47773738978618
ACC02574,3,74.5546699718387,Darkness,Rain,Wet,Rural,Night,40,3,1,Motorcycle,Slowing or stopping,Female,65+,Rural area,Uncontrolled,Pedestrian in carriageway,Overturned,Other object,51.4721749772375,-0.499959136304545
ACC02575,1,28.4024213035675,Daylight,Fine,Icy,Rural,Morning,1,1,3,Van,Going ahead,Female,65+,Urban area,Give way,,Skidded,,52.4316021693307,-0.370638434206931
ACC02576,2,33.2282740550888,Darkness,Snow,Snow,Urban,Evening,30,1,6,Car,Slowing or stopping,Male,36-45,Rural area,Uncontrolled,Parked vehicle,,,51.4467991445611,-0.514847158352178
ACC02577,2,53.1569014660782,Daylight,Snow,Dry,Urban,Night,13,4,1,Truck,Turning right,Male,36-45,Rural area,Uncontrolled,,Skidded,,51.1700307530414,-0.281605886265194
